STATE,N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP
Gujarat,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,Ladies Finger
Gujarat,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,Brinjal
Gujarat,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,Capsicum
Gujarat,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,Guar
Gujarat,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,Lemon
Gujarat,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,Bajra
Gujarat,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,Bajra
Gujarat,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,Castor Seed
Gujarat,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,Ladies Finger
Gujarat,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,Bottle Gourd
Gujarat,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,Brinjal
Gujarat,65,37,40,23.35905428,83.59512273,5.333322606,188.413665,Cabbage
Gujarat,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,Capsicum
Gujarat,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,Carrot
Gujarat,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Cauliflower
Gujarat,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Coriander
Gujarat,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Cowpea
Gujarat,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Cucumber
Gujarat,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Drumstick
Gujarat,89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,Elephat Yam
Gujarat,76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,Ginger
Gujarat,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Green Chilli
Gujarat,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Seam
Gujarat,90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,Lemon
Gujarat,62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,Methi Leaves
Gujarat,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Green Onion
Gujarat,66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,Peas cod
Gujarat,63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,Pigeon Pea
Gujarat,70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,Sponge Gourd
Gujarat,61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,Surat Beans
Gujarat,66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,Sweet Potato
Gujarat,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Tinda
Gujarat,77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,Tomato
Gujarat,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Cluster Beans
Gujarat,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Potato
Gujarat,83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,Sweet Potato
Gujarat,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Red Gram
Gujarat,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Cotton
Gujarat,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Maize
Gujarat,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Paddy
Gujarat,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Wheat
Gujarat,87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,Bajra
Gujarat,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Maize
Gujarat,63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Paddy
Gujarat,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Brinjal
Gujarat,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Cabbage
Gujarat,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,Tomato
